0,"0.196*""company"" + 0.175*""account"" + 0.123*""entity"" + 0.066*""forth"" + 0.065*""chapter"" + 0.035*""action"" + 0.026*""20219"" + 0.026*""development"" + 0.018*""employee"" + 0.017*""acquisition"""
1,"0.204*""provided"" + 0.089*""discretion"" + 0.083*""percent"" + 0.079*""apply"" + 0.039*""foia"" + 0.034*""103"" + 0.030*""1831o"" + 0.029*""disclosed"" + 0.029*""writing"" + 0.029*""acts"""
2,"0.149*""lent"" + 0.118*""scope"" + 0.112*""rule"" + 0.104*""5412"" + 0.076*""provisions"" + 0.068*""decisions"" + 0.024*""parties"" + 0.024*""77b"" + 0.023*""treasury"" + 0.020*""code"""
3,"0.313*""217"" + 0.145*""less"" + 0.094*""thereof"" + 0.076*""policies"" + 0.035*""exceptions"" + 0.034*""officer"" + 0.031*""applications"" + 0.024*""jurisdiction"" + 0.015*""consumer"" + 0.012*""corporations"""
4,"0.141*""exposure"" + 0.104*""disclosures"" + 0.083*""investment"" + 0.053*""otherwise"" + 0.053*""thereunder"" + 0.052*""budget"" + 0.038*""customers"" + 0.023*""acquired"" + 0.015*""governed"" + 0.015*""meaningful"""
5,"0.277*""association"" + 0.149*""definitions"" + 0.094*""laws"" + 0.089*""78c"" + 0.074*""securities"" + 0.050*""applicable"" + 0.048*""approval"" + 0.026*""3101"" + 0.024*""income"" + 0.017*""status"""
6,"0.177*""state"" + 0.142*""described"" + 0.120*""1841"" + 0.088*""definition"" + 0.049*""program"" + 0.047*""office"" + 0.047*""services"" + 0.038*""application"" + 0.038*""accounts"" + 0.029*""proceeding"""
7,"0.099*""fees"" + 0.085*""permitted"" + 0.083*""transactions"" + 0.076*""information"" + 0.072*""pub"" + 0.072*""purpose"" + 0.058*""corporation"" + 0.044*""requirement"" + 0.032*""comptroller"" + 0.022*""affiliate"""
8,"0.252*""part"" + 0.139*""capacity"" + 0.127*""pursuant"" + 0.069*""procedures"" + 0.038*""security"" + 0.034*""located"" + 0.026*""deposit"" + 0.019*""area"" + 0.015*""money"" + 0.015*""violation"""
9,"0.360*""activities"" + 0.059*""funds"" + 0.054*""loans"" + 0.046*""167"" + 0.044*""defined"" + 0.043*""public"" + 0.032*""1818"" + 0.026*""business"" + 0.025*""performance"" + 0.022*""93a"""
10,"0.362*""associations"" + 0.109*""regulation"" + 0.104*""law"" + 0.089*""ratio"" + 0.056*""subpart"" + 0.023*""552"" + 0.016*""3105"" + 0.016*""liability"" + 0.013*""order"" + 0.013*""228"""
11,"0.100*""example"" + 0.094*""institutions"" + 0.062*""insurance"" + 0.061*""category"" + 0.060*""hearing"" + 0.039*""affiliates"" + 0.039*""sar"" + 0.033*""membership"" + 0.028*""condition"" + 0.028*""measure"""
12,"0.191*""general"" + 0.169*""banking"" + 0.146*""fee"" + 0.142*""u.s.c"" + 0.060*""required"" + 0.034*""position"" + 0.022*""obligation"" + 0.020*""functions"" + 0.020*""rules"" + 0.015*""authorities"""
13,"0.231*""cfr"" + 0.213*""occ"" + 0.083*""appropriate"" + 0.078*""230"" + 0.064*""204"" + 0.039*""subsidiaries"" + 0.033*""review"" + 0.030*""credit"" + 0.028*""control"" + 0.027*""system"""
14,"0.261*""act"" + 0.119*""relationship"" + 0.067*""organization"" + 0.056*""basis"" + 0.046*""report"" + 0.043*""interest"" + 0.042*""1464"" + 0.035*""communications"" + 0.025*""party"" + 0.021*""columbia"""
15,"0.174*""states"" + 0.124*""year"" + 0.115*""board"" + 0.099*""208"" + 0.074*""billion"" + 0.073*""agreement"" + 0.045*""210"" + 0.039*""branches"" + 0.016*""contracts"" + 0.015*""premises"""
16,"0.257*""banks"" + 0.110*""stat"" + 0.100*""paragraph"" + 0.057*""1026"" + 0.035*""geography"" + 0.031*""limits"" + 0.030*""401"" + 0.026*""1003"" + 0.026*""decision"" + 0.022*""conversion"""
17,"0.179*""1813"" + 0.132*""subsidiary"" + 0.089*""225"" + 0.050*""circumstances"" + 0.045*""guidance"" + 0.041*""limit"" + 0.040*""country"" + 0.031*""years"" + 0.023*""process"" + 0.022*""suspects"""
18,"0.479*""bank"" + 0.075*""contract"" + 0.036*""seventh"" + 0.031*""229"" + 0.023*""directors"" + 0.022*""commission"" + 0.022*""currency"" + 0.018*""generally"" + 0.018*""interests"" + 0.013*""requires"""
19,"0.224*""period"" + 0.158*""notice"" + 0.127*""assets"" + 0.096*""1467a"" + 0.047*""branch"" + 0.038*""community"" + 0.025*""practices"" + 0.022*""shares"" + 0.019*""agencies"" + 0.016*""extended"""
20,"0.242*""requirements"" + 0.173*""institution"" + 0.071*""person"" + 0.044*""202"" + 0.040*""operations"" + 0.040*""240"" + 0.022*""dwelling"" + 0.022*""4001-4129"" + 0.022*""400"" + 0.018*""months"""
21,"0.897*"""" + 0.037*""211"" + 0.005*""delivery"" + 0.005*""group"" + 0.003*""receivership"" + 0.002*""depositor"" + 0.001*""redeemed"" + 0.001*""implemented"" + 0.001*""immediately"" + 0.001*""adequate"""
22,"0.415*""authority"" + 0.119*""date"" + 0.073*""capital"" + 0.060*""investments"" + 0.033*""regulations"" + 0.022*""closings"" + 0.022*""days"" + 0.022*""grade"" + 0.019*""msa"" + 0.017*""78a"""
23,"0.497*""section"" + 0.072*""transaction"" + 0.072*""agency"" + 0.057*""trustee"" + 0.031*""conditions"" + 0.017*""offices"" + 0.017*""acceptance"" + 0.017*""categories"" + 0.014*""surplus"" + 0.011*""contracted"""
24,"0.097*""loan"" + 0.088*""request"" + 0.079*""purposes"" + 0.070*""applicability"" + 0.045*""stock"" + 0.044*""obligations"" + 0.043*""195"" + 0.034*""deposits"" + 0.025*""management"" + 0.024*""calculation"""
